"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Amine ligand-binding receptors","REAC:R-HSA-375280","1.4584521180012854e-54","53.83610782449849","42","175","35","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,ADRB2,ADRA1D,ADRB3,HRH4,HTR5A,HTR1F,HRH3,HTR4,HRH2"
"REAC","Signal Transduction","REAC:R-HSA-162582","2.6800565349577096e-25","24.571856044567777","2687","175","113","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,CALM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,ESR1,CHRM3,KIT,HDAC2,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,PDGFRB,ADRB2,ADRA1D,FLT1,KDR,LCK,ABL1,TUBA1A,FLT4,AR,HDAC1,TUBA4A,FLT3,TUBB1,ADRB3,CSK,BCL2,PRKCQ,HRH4,GNRHR,LYN,FRK,HTR5A,SRC,HTR1F,EGFR,YES1,PRKCA,PRKCB,FYN,HDAC8,PDPK1,RET,RXRA,TUBB4B,HRH3,SYK,ATP6V1A,RAF1,RARB,PRKCZ,OPRM1,CDK2,PRKCD,PRKCG,IKBKB,MAPK8,OPRK1,HTR4,PRKCE,GRIN2B,ERBB2,MAPK14,ADORA2A,RXRB,MAPKAPK2,HRH2,CASR,PDGFRA,RARG,PRKCI,RARA,HDAC3,RXRG,MAPK3,JUN,BTK,PIK3CG,HDAC6,CSNK1G2,GRIN1,GSK3B,S1PR5,BCR,GABRB3,OPRD1,BRAF,PSMB1,ESR2,PTPRS,GRIN2D,PSMB5,STAT5B"
"REAC","Class A/1 (Rhodopsin-like receptors)","REAC:R-HSA-373076","2.432570992506265e-22","21.613934476361223","328","175","41","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,ADRB2,ADRA1D,ADRB3,HRH4,GNRHR,HTR5A,HTR1F,HRH3,OPRM1,OPRK1,HTR4,ADORA2A,HRH2,S1PR5,OPRD1"
"REAC","Serotonin receptors","REAC:R-HSA-390666","1.2435201973289558e-19","18.90534715649997","12","175","12","10531","HTR2A,HTR2C,HTR1A,HTR6,HTR1D,HTR7,HTR1B,HTR2B,HTR1E,HTR5A,HTR1F,HTR4"
"REAC","GPCR ligand binding","REAC:R-HSA-500792","1.2379194573091805e-17","16.90730761087655","459","175","42","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,ADRB2,ADRA1D,ADRB3,HRH4,GNRHR,HTR5A,HTR1F,HRH3,OPRM1,OPRK1,HTR4,ADORA2A,HRH2,CASR,S1PR5,OPRD1"
"REAC","Adrenoceptors","REAC:R-HSA-390696","3.22394794619166e-14","13.491611978921608","9","175","9","10531","ADRA1A,ADRA1B,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRA1D,ADRB3"
"REAC","Transmission across Chemical Synapses","REAC:R-HSA-112315","8.456441256414362e-14","13.072812363658764","259","175","29","10531","CALM1,SLC6A4,HTR3A,SLC6A3,TUBA1A,TUBA4A,TUBB1,SRC,PRKCA,PRKCB,HTR3E,PDPK1,GRIN2A,HTR3D,TUBB4B,PRKCG,HTR3C,ALDH2,HSPA8,GRIN2B,GLRA3,GRIN2C,MAPK3,GRIN3A,HTR3B,GRIN1,GABRB3,GRIN3B,GRIN2D"
"REAC","Neurotransmitter receptors and postsynaptic signal transmission","REAC:R-HSA-112314","5.57178253158887e-13","12.254005842566457","196","175","25","10531","CALM1,HTR3A,TUBA1A,TUBA4A,TUBB1,SRC,PRKCA,PRKCB,HTR3E,PDPK1,GRIN2A,HTR3D,TUBB4B,PRKCG,HTR3C,GRIN2B,GLRA3,GRIN2C,MAPK3,GRIN3A,HTR3B,GRIN1,GABRB3,GRIN3B,GRIN2D"
"REAC","GPCR downstream signalling","REAC:R-HSA-388396","1.8267205759240593e-11","10.738327879366203","1088","175","54","10531","DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,CALM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,ADRB2,ADRA1D,ADRB3,PRKCQ,HRH4,GNRHR,HTR5A,SRC,HTR1F,EGFR,PRKCA,PRKCB,PDPK1,HRH3,OPRM1,PRKCD,PRKCG,OPRK1,HTR4,PRKCE,ADORA2A,HRH2,CASR,MAPK3,BTK,PIK3CG,S1PR5,OPRD1"
"REAC","Platelet activation, signaling and aggregation","REAC:R-HSA-76002","4.41761358649563e-11","10.354812275017785","258","175","26","10531","ADRA2A,ADRA2B,ADRA2C,CALM1,LCK,TUBA4A,CSK,PRKCQ,LYN,SRC,PRKCA,PRKCB,FYN,ORM2,PDPK1,SYK,ORM1,RAF1,PRKCZ,PRKCD,PRKCG,PRKCE,MAPK14,PPIA,MAPK3,PIK3CG"
