"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Amine ligand-binding receptors","REAC:R-HSA-375280","2.3809161405063888e-60","59.62325590083901","42","78","32","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,ADRB2,ADRA1D,ADRB3,HRH4,HTR5A,HTR1F"
"REAC","Class A/1 (Rhodopsin-like receptors)","REAC:R-HSA-373076","5.6454898646773665e-30","29.248298367946997","328","35","26","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5"
"REAC","GPCR ligand binding","REAC:R-HSA-500792","4.227683131142214e-26","25.37389757092787","459","35","26","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5"
"REAC","Serotonin receptors","REAC:R-HSA-390666","1.3782215308827415e-21","20.860680969723518","12","122","12","10531","HTR2A,HTR2C,HTR1A,HTR6,HTR1D,HTR7,HTR1B,HTR2B,HTR1E,HTR5A,HTR1F,HTR4"
"REAC","Signal Transduction","REAC:R-HSA-162582","2.2476143786612832e-20","19.648278198256584","2687","187","111","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,CALM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,ESR1,CHRM3,KIT,HDAC2,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,PDGFRB,ADRB2,ADRA1D,FLT1,KDR,LCK,ABL1,TUBA1A,FLT4,AR,HDAC1,TUBA4A,FLT3,TUBB1,ADRB3,CSK,BCL2,PRKCQ,HRH4,GNRHR,LYN,FRK,HTR5A,SRC,HTR1F,EGFR,YES1,PRKCA,PRKCB,FYN,HDAC8,PDPK1,RET,RXRA,TUBB4B,HRH3,SYK,ATP6V1A,RAF1,RARB,PRKCZ,OPRM1,CDK2,PRKCD,PRKCG,IKBKB,MAPK8,OPRK1,HTR4,PRKCE,GRIN2B,ERBB2,MAPK14,ADORA2A,RXRB,MAPKAPK2,HRH2,CASR,PDGFRA,RARG,PRKCI,RARA,HDAC3,RXRG,MAPK3,JUN,BTK,PIK3CG,HDAC6,CSNK1G2,GRIN1,GSK3B,S1PR5,BCR,GABRB3,OPRD1,BRAF,PSMB1,ESR2,PTPRS,GRIN2D"
"REAC","Adrenoceptors","REAC:R-HSA-390696","2.5799118720663247e-18","17.588395128970486","9","64","9","10531","ADRA1A,ADRA1B,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRA1D,ADRB3"
"REAC","Signaling by GPCR","REAC:R-HSA-372790","3.9704400630390033e-17","16.40116135561524","1158","35","27","10531","DRD2,DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,CALM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5"
"REAC","GPCR downstream signalling","REAC:R-HSA-388396","2.0513196386968177e-16","15.687966662154139","1088","35","26","10531","DRD1,HTR2A,HTR2C,ADRA1A,HTR1A,ADRA1B,DRD3,ADRA2A,ADRA2B,DRD5,ADRA2C,CHRM1,CALM1,DRD4,HRH1,HTR6,HTR1D,HTR7,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5"
"REAC","Transmission across Chemical Synapses","REAC:R-HSA-112315","5.275046368962543e-13","12.277773718457558","259","187","29","10531","CALM1,SLC6A4,HTR3A,SLC6A3,TUBA1A,TUBA4A,TUBB1,SRC,PRKCA,PRKCB,HTR3E,PDPK1,GRIN2A,HTR3D,TUBB4B,PRKCG,HTR3C,ALDH2,HSPA8,GRIN2B,GLRA3,GRIN2C,MAPK3,GRIN3A,HTR3B,GRIN1,GABRB3,GRIN3B,GRIN2D"
"REAC","Dopamine receptors","REAC:R-HSA-390651","1.660116020229344e-12","11.779861559439064","5","16","5","10531","DRD2,DRD1,DRD3,DRD5,DRD4"
