"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Amine ligand-binding receptors","REAC:R-HSA-375280","9.770914132872693e-51","50.010064803293446","42","139","32","10531","DRD2,HTR2A,HTR2C,DRD1,DRD5,ADRA1A,HTR1A,HRH1,HTR6,ADRA1B,CHRM1,ADRA2A,ADRA2C,DRD3,ADRA2B,HTR7,HTR1D,HTR5A,DRD4,HTR1B,HTR2B,CHRM3,HTR1E,CHRM2,CHRM4,ADRB1,CHRM5,ADRB2,ADRA1D,HRH4,ADRB3,HRH3"
"REAC","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","REAC:R-HSA-190840","1.3187383363731186e-29","28.87984136847383","20","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","Transport of connexons to the plasma membrane","REAC:R-HSA-190872","3.4586302129030914e-29","28.461095869058383","21","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","Post-chaperonin tubulin folding pathway","REAC:R-HSA-389977","1.9410844238741517e-28","27.71195557536623","23","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","Formation of tubulin folding intermediates by CCT/TriC","REAC:R-HSA-389960","1.759948364729529e-27","26.75450007380062","26","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","Activation of AMPK downstream of NMDARs","REAC:R-HSA-9619483","6.324619308517771e-27","26.19896561041867","28","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","Sealing of the nuclear envelope (NE) by ESCRT-III","REAC:R-HSA-9668328","5.847010056914468e-26","25.23306615917132","32","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","RHO GTPases activate IQGAPs","REAC:R-HSA-5626467","5.847010056914468e-26","25.23306615917132","32","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","REAC:R-HSA-389958","9.639035687046158e-26","25.015966411817363","33","23","13","10531","TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,TUBB6,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8"
"REAC","Signal Transduction","REAC:R-HSA-162582","3.2921526847181295e-25","24.48252003111686","2687","307","167","10531","DRD2,HTR2A,HTR2C,DRD1,DRD5,TUBB4B,TUBB4A,TUBB2B,TUBB2A,TUBB3,ADRA1A,TUBB6,HTR1A,TUBB1,TUBA4A,TUBA1C,TUBA1B,TUBA1A,TUBA3C,TUBA8,HRH1,HTR6,MAPK8,ADRA1B,CHRM1,ADRA2A,KIT,ADRA2C,FLT3,PDGFRB,PDGFRA,KDR,FLT4,DRD3,ADRA2B,CALM2,HTR7,HDAC2,HDAC1,FRK,CSK,HTR1D,PTK6,FLT1,LYN,SRMS,AR,HTR5A,MATK,MET,FGFR4,FYN,RET,TEC,PRKCI,DRD4,HTR1B,HTR2B,ESR1,CHRM3,LCK,ABL1,HTR1E,CHRM2,SRC,MAPK14,PRKCA,MAPK11,YES1,PRKCB,PRKCG,PRKCE,PRKCZ,SYK,BTK,FER,ERBB2,EGFR,FES,MAPK13,CHRM4,ADRB1,CHRM5,ADRB2,PRKCQ,ESR2,PRKCD,JUN,ADRA1D,ADORA2A,HRH4,ADRB3,HRH3,BRAF,HDAC3,MAPK12,NTRK2,NR1H3,BCL2,HTR1F,PDPK1,GSK3B,CHD1,TEK,NTRK1,RAF1,ADORA1,AURKB,ADORA2B,ADORA3,MMP3,SSTR2,SSTR5,SGK1,PTK2B,AXL,GNRHR,HDAC8,RXRA,ATP6V1A,RARB,OPRM1,CDK2,IKBKB,OPRK1,HTR4,GRIN2B,RXRB,MAPKAPK2,HRH2,CASR,RARG,RARA,RXRG,MAPK3,PIK3CG,HDAC6,CSNK1G2,GRIN1,S1PR5,BCR,GABRB3,OPRD1,PSMB1,PTPRS,GRIN2D,PSMB5,STAT5B,PPP3R1,RHO,CDK1,PPARG,MAP2K1,MAP2K2,OPRL1,PNLIP,CDK5,MAPKAPK3,LHCGR,GSK3A,MAPK1,CSNK2A1,GABRB1,GABRB2,ARAF,STK3,SSTR4"
